     Time     Replica1     Replica2     Replica3
40500      463.615      288.200      448.327
40600      534.667      229.188      478.647
40700      517.274      266.678      473.264
40800      497.769      290.092      465.380
40900      510.607      251.379      443.818
41000      470.412      251.943      430.961
41100      463.456      294.159      430.637
41200      466.714      297.240      462.966
41300      489.314      310.348      466.471
41400      429.233      352.622      502.134
41500      460.075      303.053      468.221
41600      483.430      342.106      447.734
41700      486.967      334.933      452.945
41800      516.001      317.066      403.044
41900      467.184      303.708      482.341
42000      487.407      348.505      464.155
42100      500.335      316.708      447.854
42200      531.553      329.112      449.282
42300      541.905      333.473      452.723
42400      514.988      272.371      422.200
42500      507.228      298.847      453.353
42600      494.029      290.675      427.084
42700      506.453      356.565      454.592
42800      481.916      352.853      437.705
42900      507.933      311.934      447.373
43000      482.826      298.336      431.740
43100      499.132      344.476      397.215
43200      465.866      349.112      388.871
43300      444.105      347.513      403.270
43400      464.831      315.816      459.039
43500      454.992      333.962      473.419
43600      436.673      332.053      428.980
43700      487.128      330.843      431.167
43800      518.799      315.978      448.818
43900      462.728      359.929      436.228
44000      523.021      312.027      445.227
44100      547.443      373.842      451.036
44200      488.247      342.169      443.145
44300      521.465      330.296      444.283
44400      507.334      331.020      469.016
44500      525.678      387.769      471.718
44600      513.361      362.248      452.714
44700      489.130      384.915      430.618
44800      435.229      437.237      434.450
44900      480.655      400.980      436.523
45000      420.556      368.124      448.334
45100      360.641      426.806      445.206
45200      434.277      330.458      448.300
45300      442.098      335.807      428.181
45400      443.877      322.545      445.413
45500      455.795      280.470      383.373
45600      423.762      318.657      379.448
45700      418.978      312.813      405.259
45800      450.008      294.885      406.551
45900      468.713      324.593      441.907
46000      367.441      339.286      412.523
46100      422.799      371.298      369.812
46200      359.514      338.900      394.905
46300      374.942      312.176      380.760
46400      386.814      331.527      379.755
46500      437.060      365.879      366.753
46600      344.879      345.866      395.925
46700      409.938      306.563      394.766
46800      371.747      330.546      366.449
46900      395.168      417.588      395.019
47000      439.372      348.644      412.569
47100      427.136      384.851      414.841
47200      357.660      329.362      445.466
47300      342.778      345.578      416.720
47400      409.514      265.280      435.126
47500      440.700      297.872      403.701
47600      432.566      328.506      389.852
47700      368.534      308.280      359.560
47800      377.471      379.980      389.572
47900      335.791      321.903      419.246
48000      419.903      367.979      424.615
48100      365.999      395.122      421.840
